date,market_id,market_name,feature_row_valid
2020-01-01,160,Kolhapur,False
2020-01-02,160,Kolhapur,False
2020-01-03,160,Kolhapur,False
2020-01-04,160,Kolhapur,False
2020-01-05,160,Kolhapur,False
2020-01-06,160,Kolhapur,False
2020-01-07,160,Kolhapur,False
2020-01-08,160,Kolhapur,False
2020-01-09,160,Kolhapur,False
2020-01-10,160,Kolhapur,False
2020-01-11,160,Kolhapur,False
2020-01-12,160,Kolhapur,False
2020-01-13,160,Kolhapur,False
2020-01-14,160,Kolhapur,False
2020-01-15,160,Kolhapur,False
2020-01-16,160,Kolhapur,False
2020-01-17,160,Kolhapur,False
2020-01-18,160,Kolhapur,False
2020-01-19,160,Kolhapur,False
2020-01-20,160,Kolhapur,False
2020-01-21,160,Kolhapur,False
2020-01-22,160,Kolhapur,False
2020-01-23,160,Kolhapur,False
2020-01-24,160,Kolhapur,False
2020-01-25,160,Kolhapur,False
2020-01-26,160,Kolhapur,False
2020-01-27,160,Kolhapur,False
2020-01-28,160,Kolhapur,False
2020-01-29,160,Kolhapur,False
2020-01-30,160,Kolhapur,False
2020-01-31,160,Kolhapur,True
2020-02-01,160,Kolhapur,True
2020-02-02,160,Kolhapur,True
2020-02-03,160,Kolhapur,True
2020-02-04,160,Kolhapur,True
2020-02-05,160,Kolhapur,True
2020-02-06,160,Kolhapur,True
2020-02-07,160,Kolhapur,True
2020-02-08,160,Kolhapur,True
2020-02-09,160,Kolhapur,True
2020-02-10,160,Kolhapur,True
2020-02-11,160,Kolhapur,True
2020-02-12,160,Kolhapur,True
2020-02-13,160,Kolhapur,True
2020-02-14,160,Kolhapur,True
2020-02-15,160,Kolhapur,True
2020-02-16,160,Kolhapur,True
2020-02-17,160,Kolhapur,True
2020-02-18,160,Kolhapur,True
2020-02-19,160,Kolhapur,True
2020-02-20,160,Kolhapur,True
2020-02-21,160,Kolhapur,True
2020-02-22,160,Kolhapur,True
2020-02-23,160,Kolhapur,True
2020-02-24,160,Kolhapur,True
2020-02-25,160,Kolhapur,True
2020-02-26,160,Kolhapur,True
2020-02-27,160,Kolhapur,True
2020-02-28,160,Kolhapur,True
2020-02-29,160,Kolhapur,True
2020-03-01,160,Kolhapur,True
2020-03-02,160,Kolhapur,True
2020-03-03,160,Kolhapur,True
2020-03-04,160,Kolhapur,True
2020-03-05,160,Kolhapur,True
2020-03-06,160,Kolhapur,True
2020-03-07,160,Kolhapur,True
2020-03-08,160,Kolhapur,True
2020-03-09,160,Kolhapur,True
2020-03-10,160,Kolhapur,True
2020-03-11,160,Kolhapur,True
2020-03-12,160,Kolhapur,True
2020-03-13,160,Kolhapur,True
2020-03-14,160,Kolhapur,True
2020-03-15,160,Kolhapur,False
2020-03-16,160,Kolhapur,False
2020-03-17,160,Kolhapur,False
2020-03-18,160,Kolhapur,False
2020-03-19,160,Kolhapur,True
2020-03-20,160,Kolhapur,True
2020-03-21,160,Kolhapur,True
2020-03-22,160,Kolhapur,False
2020-03-23,160,Kolhapur,False
2020-03-24,160,Kolhapur,False
2020-03-25,160,Kolhapur,False
2020-03-26,160,Kolhapur,False
2020-03-27,160,Kolhapur,False
2020-03-28,160,Kolhapur,False
2020-03-29,160,Kolhapur,False
2020-03-30,160,Kolhapur,False
2020-03-31,160,Kolhapur,False
2020-04-01,160,Kolhapur,False
2020-04-02,160,Kolhapur,False
2020-04-03,160,Kolhapur,False
2020-04-04,160,Kolhapur,False
2020-04-05,160,Kolhapur,False
2020-04-06,160,Kolhapur,False
2020-04-07,160,Kolhapur,False
2020-04-08,160,Kolhapur,False
2020-04-09,160,Kolhapur,False
2020-04-10,160,Kolhapur,False
2020-04-11,160,Kolhapur,False
2020-04-12,160,Kolhapur,False
2020-04-13,160,Kolhapur,False
2020-04-14,160,Kolhapur,False
2020-04-15,160,Kolhapur,False
2020-04-16,160,Kolhapur,False
2020-04-17,160,Kolhapur,False
2020-04-18,160,Kolhapur,False
2020-04-19,160,Kolhapur,False
2020-04-20,160,Kolhapur,False
2020-04-21,160,Kolhapur,False
2020-04-22,160,Kolhapur,False
2020-04-23,160,Kolhapur,False
2020-04-24,160,Kolhapur,False
2020-04-25,160,Kolhapur,False
2020-04-26,160,Kolhapur,False
2020-04-27,160,Kolhapur,False
2020-04-28,160,Kolhapur,False
2020-04-29,160,Kolhapur,False
2020-04-30,160,Kolhapur,False
2020-05-01,160,Kolhapur,False
2020-05-02,160,Kolhapur,False
2020-05-03,160,Kolhapur,False
2020-05-04,160,Kolhapur,False
2020-05-05,160,Kolhapur,False
2020-05-06,160,Kolhapur,False
2020-05-07,160,Kolhapur,False
2020-05-08,160,Kolhapur,False
2020-05-09,160,Kolhapur,False
2020-05-10,160,Kolhapur,False
2020-05-11,160,Kolhapur,False
2020-05-12,160,Kolhapur,False
2020-05-13,160,Kolhapur,False
2020-05-14,160,Kolhapur,False
2020-05-15,160,Kolhapur,False
2020-05-16,160,Kolhapur,False
